"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10356","Авторизация с пустыми полями login и password. Ошибка входа: пустое поле Email. Ошибка входа: пустое поле Password ","finalsurge","2026-07-21","passed","2026-07-21","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithEmptyFields"
"","2516","Редирект на Can/t sign in: запросить email","finalsurge","2026-07-21","passed","2026-07-21","tests.LoginTest","thread1","tests.LoginTest","checkRequestNewPassword"
"","1569","Проверка валидации некорректного email","finalsurge","2026-07-21","passed","2026-07-21","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessageForEmailForRegistration"
"","948","Авторизация с невалидным полем login. Ошибка входа: email без @","finalsurge","2026-07-21","passed","2026-07-21","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithUnvalidLogin"
"","1044","Авторизация с password, которого нет в системе. Сообщение об ошибке: `""Invalid login credentials. Please try again.""`","finalsurge","2026-07-21","passed","2026-07-21","tests.LoginTest","thread1","tests.LoginTest","checkUnregisteredPassword"
"","9151","Чекбокс Remember me: отображается, не прожат. После клика прожат","finalsurge","2026-07-21","passed","2026-07-21","tests.LoginTest","thread1","tests.LoginTest","loginWithRememberMeCheckbox"
"","8165","Успешная регистрация в системе","finalsurge","2026-07-21","passed","2026-07-21","tests.RegisterTest","thread1","tests.RegisterTest","checkSuccessfullRegistration"
"","3036","Проверка отображения страницы","finalsurge","2026-07-21","passed","2026-07-21","tests.CustomerSupportTest","thread2","tests.CustomerSupportTest","checkCustomerSupportPage"
"","2770","Успешный вход с валидными email и паролем","finalsurge","2026-07-21","passed","2026-07-21","tests.LoginTest","thread1","tests.LoginTest","checkSuccessfullLogin"
"","10727","Проверка перехода на страницу логина","finalsurge","2026-07-21","passed","2026-07-21","tests.RegisterTest","thread1","tests.RegisterTest","checkLoginLink"
"","1694","Проверка валидации слабого пароля","finalsurge","2026-07-21","passed","2026-07-21","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessageForWeakPassword"
"","2507","Авторизация с email, которого нет в системе. Сообщение об ошибке: `""Invalid login credentials. Please try again.""`","finalsurge","2026-07-21","passed","2026-07-21","tests.LoginTest","thread1","tests.LoginTest","checkUnregisteredLogin"
"","2645","Ссылка sign in. Проверка перехода на страницу регистрации","finalsurge","2026-07-21","passed","2026-07-21","tests.LoginTest","thread1","tests.LoginTest","checkRegistration"
"","1317","Авторизация с пустым полем password. Ошибка входа: пустое поле Password","finalsurge","2026-07-21","passed","2026-07-21","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithEmptyPassword"
"","4351","Отображается сообщение об успешной отправке фидбека","finalsurge","2026-07-21","passed","2026-07-21","tests.FeedBackTest","thread2","tests.FeedBackTest","checkSendFeedBack"
"","26814","Отображается страница фидбека и текст Provide Feedback","finalsurge","2026-07-21","passed","2026-07-21","tests.FeedBackTest","thread2","tests.FeedBackTest","checkFeedBackPage"
"","5408","Разлогин: успешный логаут. Редирект на Account Login, отображается страница логина","finalsurge","2026-07-21","passed","2026-07-21","tests.LoginTest","thread1","tests.LoginTest","checkSuccessfullLogout"
"","3076","Проверка валидации пустых полей","finalsurge","2026-07-21","passed","2026-07-21","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessagesForEmptyRegistration"
"","2458","Авторизация с пустым полем login. Ошибка входа: пустое поле Email","finalsurge","2026-07-21","passed","2026-07-21","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithEmptyLogin"
